2023-12-04 19:05:07,675 - INFO - leon9 se movió a la posición [8, 0]
2023-12-04 19:05:07,984 - INFO - leon se movió a la posición [8, 10]
2023-12-04 19:05:07,984 - INFO - leon2 se movió a la posición [8, 5]
2023-12-04 19:05:07,984 - INFO - leon3 se movió a la posición [9, 4]
2023-12-04 19:05:07,984 - INFO - leon4 se movió a la posición [10, 3]
2023-12-04 19:05:07,985 - INFO - leon5 se movió a la posición [7, 9]
2023-12-04 19:05:07,985 - INFO - leon6 se movió a la posición [0, 2]
2023-12-04 19:05:07,985 - INFO - leon7 se movió a la posición [3, 6]
2023-12-04 19:05:07,985 - INFO - leon8 se movió a la posición [6, 25]
2023-12-04 19:05:07,985 - INFO - leon9 se movió a la posición [7, 0]
2023-12-04 19:05:08,286 - INFO - leon se movió a la posición [8, 9]
2023-12-04 19:05:08,286 - INFO - leon2 se movió a la posición [7, 5]
2023-12-04 19:05:08,286 - INFO - leon3 se movió a la posición [8, 4]
2023-12-04 19:05:08,286 - INFO - leon4 se movió a la posición [9, 3]
2023-12-04 19:05:08,286 - INFO - leon5 se movió a la posición [7, 10]
2023-12-04 19:05:08,286 - INFO - leon6 se movió a la posición [1, 2]
2023-12-04 19:05:08,287 - INFO - leon7 se movió a la posición [2, 6]
2023-12-04 19:05:08,287 - INFO - leon8 se movió a la posición [5, 25]
2023-12-04 19:05:08,287 - INFO - leon9 se movió a la posición [7, 1]
2023-12-04 19:05:08,587 - INFO - leon se movió a la posición [8, 10]
2023-12-04 19:05:08,587 - INFO - leon2 se movió a la posición [6, 5]
2023-12-04 19:05:08,588 - INFO - leon3 se movió a la posición [7, 4]
2023-12-04 19:05:08,588 - INFO - leon4 se movió a la posición [10, 3]
2023-12-04 19:05:08,588 - INFO - leon5 se movió a la posición [8, 10]
2023-12-04 19:05:08,588 - INFO - leon6 se movió a la posición [1, 1]
2023-12-04 19:05:08,588 - INFO - leon7 se movió a la posición [2, 5]
2023-12-04 19:05:08,588 - INFO - leon8 se movió a la posición [5, 26]
2023-12-04 19:05:08,588 - INFO - leon9 se movió a la posición [8, 1]
2023-12-04 19:05:08,903 - INFO - leon se movió a la posición [8, 11]
2023-12-04 19:05:08,903 - INFO - leon2 se movió a la posición [5, 5]
2023-12-04 19:05:08,903 - INFO - leon3 se movió a la posición [7, 3]
2023-12-04 19:05:08,903 - INFO - leon4 se movió a la posición [11, 3]
2023-12-04 19:05:08,904 - INFO - leon5 se movió a la posición [8, 9]
2023-12-04 19:05:08,904 - INFO - leon6 se movió a la posición [1, 0]
2023-12-04 19:05:08,904 - INFO - leon7 se movió a la posición [2, 4]
2023-12-04 19:05:08,904 - INFO - leon8 se movió a la posición [4, 26]
2023-12-04 19:05:08,905 - INFO - leon9 se movió a la posición [9, 1]
2023-12-04 19:05:09,217 - INFO - leon se movió a la posición [7, 11]
2023-12-04 19:05:09,217 - INFO - leon2 se movió a la posición [4, 5]
2023-12-04 19:05:09,217 - INFO - leon3 se movió a la posición [6, 3]
2023-12-04 19:05:09,217 - INFO - leon4 se movió a la posición [11, 4]
2023-12-04 19:05:09,217 - INFO - leon5 se movió a la posición [8, 8]
2023-12-04 19:05:09,217 - INFO - leon6 se movió a la posición [1, 1]
